,mount,mount_date,tag,center,arch_type,eng_type,block,zone,cut,cut_mask,projmask,pair_name,pair_index,name
0,False,,A-0,3769,A,0,SW,L2,2,2,2,0_0,1,mfb_sw_panel_0_0_1
1,False,,A-0,3930,A,0,SW,L2,2,2,2,0_0,2,mfb_sw_panel_0_0_2
2,False,,A-0,3771,A,0,SW,L2,2,2,2,0_1,1,mfb_sw_panel_0_1_1
3,False,,A-0,3932,A,0,SW,L2,2,2,2,0_1,2,mfb_sw_panel_0_1_2
4,False,,A-0,3773,A,0,SW,L2,2,2,2,0_2,1,mfb_sw_panel_0_2_1
5,False,,A-0,3934,A,0,SW,L2,2,2,2,0_2,2,mfb_sw_panel_0_2_2
6,False,,A-0,3775,A,0,SW,L2,2,2,2,0_3,1,mfb_sw_panel_0_3_1
7,False,,A-0,3936,A,0,SW,L2,2,2,2,0_3,2,mfb_sw_panel_0_3_2
8,False,,A-0,3777,A,0,SW,L2,2,2,2,0_4,1,mfb_sw_panel_0_4_1
9,False,,A-0,3938,A,0,SW,L2,2,2,2,0_4,2,mfb_sw_panel_0_4_2
10,False,,A-0,3779,A,0,SW,L2,2,2,2,0_5,1,mfb_sw_panel_0_5_1
11,False,,A-0,3940,A,0,SW,L2,2,2,2,0_5,2,mfb_sw_panel_0_5_2
12,False,,A-0,3781,A,0,SW,L2,2,2,2,0_6,1,mfb_sw_panel_0_6_1
13,False,,A-0,3942,A,0,SW,L2,2,2,2,0_6,2,mfb_sw_panel_0_6_2
14,False,,A-0,3783,A,0,SW,L2,2,2,2,0_7,1,mfb_sw_panel_0_7_1
15,False,,A-0,3944,A,0,SW,L2,2,2,2,0_7,2,mfb_sw_panel_0_7_2
16,False,,A-0,3785,A,0,SW,L2,2,2,2,0_8,1,mfb_sw_panel_0_8_1
17,False,,A-0,3946,A,0,SW,L2,2,2,2,0_8,2,mfb_sw_panel_0_8_2
18,False,,A-0,3787,A,0,SW,L2,2,2,2,0_9,1,mfb_sw_panel_0_9_1
19,False,,A-0,3948,A,0,SW,L2,2,2,2,0_9,2,mfb_sw_panel_0_9_2
20,False,,A-0,3789,A,0,SW,L2,2,2,2,0_10,1,mfb_sw_panel_0_10_1
21,False,,A-0,3950,A,0,SW,L2,2,2,2,0_10,2,mfb_sw_panel_0_10_2
22,False,,A-0,3791,A,0,SW,L2,2,2,2,0_11,1,mfb_sw_panel_0_11_1
23,False,,A-0,3952,A,0,SW,L2,2,2,2,0_11,2,mfb_sw_panel_0_11_2
24,False,,A-0,3793,A,0,SW,L2,2,2,2,0_12,1,mfb_sw_panel_0_12_1
25,False,,A-0,3954,A,0,SW,L2,2,2,2,0_12,2,mfb_sw_panel_0_12_2
26,False,,A-0,3795,A,0,SW,L2,2,2,2,0_13,1,mfb_sw_panel_0_13_1
27,False,,A-0,3956,A,0,SW,L2,2,2,2,0_13,2,mfb_sw_panel_0_13_2
28,False,,A-0,3797,A,0,SW,L2,2,2,2,0_14,1,mfb_sw_panel_0_14_1
29,False,,A-0,3958,A,0,SW,L2,2,2,2,0_14,2,mfb_sw_panel_0_14_2
30,False,,A-0,3799,A,0,SW,L2,2,2,2,0_15,1,mfb_sw_panel_0_15_1
31,False,,A-0,3960,A,0,SW,L2,2,2,2,0_15,2,mfb_sw_panel_0_15_2
32,False,,A-0,3801,A,0,SW,L2,2,2,2,0_16,1,mfb_sw_panel_0_16_1
33,False,,A-0,3962,A,0,SW,L2,2,2,2,0_16,2,mfb_sw_panel_0_16_2
34,False,,A-0,3803,A,0,SW,L2,2,2,2,0_17,1,mfb_sw_panel_0_17_1
35,False,,A-0,3964,A,0,SW,L2,2,2,2,0_17,2,mfb_sw_panel_0_17_2
36,False,,A-0,3805,A,0,SW,L2,2,2,2,0_18,1,mfb_sw_panel_0_18_1
37,False,,A-0,3966,A,0,SW,L2,2,2,2,0_18,2,mfb_sw_panel_0_18_2
38,False,,A-0,3807,A,0,SW,L2,2,2,2,0_19,1,mfb_sw_panel_0_19_1
39,False,,A-0,3968,A,0,SW,L2,2,2,2,0_19,2,mfb_sw_panel_0_19_2
40,False,,A-0,3809,A,0,SW,L2,2,2,2,0_20,1,mfb_sw_panel_0_20_1
41,False,,A-0,3970,A,0,SW,L2,2,2,2,0_20,2,mfb_sw_panel_0_20_2
42,False,,A-0,3811,A,0,SW,L2,2,2,2,0_21,1,mfb_sw_panel_0_21_1
43,False,,A-0,3972,A,0,SW,L2,2,2,2,0_21,2,mfb_sw_panel_0_21_2
44,False,,A-0,3813,A,0,SW,L2,2,2,2,0_22,1,mfb_sw_panel_0_22_1
45,False,,A-0,3974,A,0,SW,L2,2,2,2,0_22,2,mfb_sw_panel_0_22_2
46,False,,A-0,3815,A,0,SW,L2,2,2,2,0_23,1,mfb_sw_panel_0_23_1
47,False,,A-0,3976,A,0,SW,L2,2,2,2,0_23,2,mfb_sw_panel_0_23_2
48,False,,A-0,3817,A,0,SW,L2,2,2,2,0_24,1,mfb_sw_panel_0_24_1
49,False,,A-0,3978,A,0,SW,L2,2,2,2,0_24,2,mfb_sw_panel_0_24_2
50,False,,A-0,3819,A,0,SW,L2,2,2,2,0_25,1,mfb_sw_panel_0_25_1
51,False,,A-0,3980,A,0,SW,L2,2,2,2,0_25,2,mfb_sw_panel_0_25_2
52,False,,A-0,3821,A,0,SW,L2,2,2,2,0_26,1,mfb_sw_panel_0_26_1
53,False,,A-0,3982,A,0,SW,L2,2,2,2,0_26,2,mfb_sw_panel_0_26_2
54,False,,A-0,3823,A,0,SW,L2,2,2,2,0_27,1,mfb_sw_panel_0_27_1
55,False,,A-0,3984,A,0,SW,L2,2,2,2,0_27,2,mfb_sw_panel_0_27_2
56,False,,A-0,3825,A,0,SW,L2,2,2,2,0_28,1,mfb_sw_panel_0_28_1
57,False,,A-0,3986,A,0,SW,L2,2,2,2,0_28,2,mfb_sw_panel_0_28_2
58,False,,A-0,3827,A,0,SW,L2,2,2,2,0_29,1,mfb_sw_panel_0_29_1
59,False,,A-0,3988,A,0,SW,L2,2,2,2,0_29,2,mfb_sw_panel_0_29_2
60,False,,A-0,3829,A,0,SW,L2,2,2,2,0_30,1,mfb_sw_panel_0_30_1
61,False,,A-0,3990,A,0,SW,L2,2,2,2,0_30,2,mfb_sw_panel_0_30_2
62,False,,A-0,3831,A,0,SW,L2,2,2,2,0_31,1,mfb_sw_panel_0_31_1
63,False,,A-0,3992,A,0,SW,L2,2,2,2,0_31,2,mfb_sw_panel_0_31_2
64,False,,A-0,3833,A,0,SW,L2,2,2,2,0_32,1,mfb_sw_panel_0_32_1
65,False,,A-0,3994,A,0,SW,L2,2,2,2,0_32,2,mfb_sw_panel_0_32_2
66,False,,A-0,3835,A,0,SW,L2,2,2,2,0_33,1,mfb_sw_panel_0_33_1
67,False,,A-0,3996,A,0,SW,L2,2,2,2,0_33,2,mfb_sw_panel_0_33_2
